fixture_id,team,rating,minutes,offsides,shots_total,shots_on,goals_total,goals_conceded,assists,saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,home
1180447,Atletico-MG,4.0,36.2,0.0380952380952381,0.23809523809523808,0.0761904761904762,0.009523809523809525,0.08571428571428572,0.01904761904761905,0.18095238095238098,15.852380952380951,0.37142857142857144,13.100000000000001,0.8142857142857144,0.11428571428571428,0.3619047619047619,3.7571428571428567,1.9047619047619047,0.5238095238095238,0.21904761904761907,0.30000000000000004,0.41904761904761906,0.5904761904761905,0.12380952380952381,0.009523809523809525,0.0,0.009523809523809525,0.0,0.0,0.0,False
1180447,Vitoria,4.353260869565218,38.63405797101449,0.017391304347826087,0.34492753623188405,0.14782608695652175,0.034782608695652174,0.0608695652173913,0.026086956521739136,0.14782608695652175,13.281159420289853,0.31231884057971016,10.857971014492753,0.532608695652174,0.1855072463768116,0.26956521739130435,3.5557971014492753,1.7057971014492754,0.5557971014492754,0.1927536231884058,0.21739130434782608,0.46304347826086956,0.31014492753623185,0.05217391304347827,0.017391304347826087,0.008695652173913044,0.0,0.008695652173913044,0.0,0.0,True
1180448,Bahia,4.832173913043478,43.06086956521739,0.043478260869565216,0.41739130434782606,0.17391304347826086,0.06086956521739131,0.034782608695652174,0.05217391304347827,0.1826086956521739,19.243478260869566,0.42608695652173917,15.895652173913044,0.6,0.16521739130434784,0.41739130434782606,3.9217391304347826,1.9478260869565216,0.5043478260869566,0.2434782608695652,0.3826086956521739,0.4869565217391304,0.4782608695652174,0.12173913043478261,0.0,0.0,0.0,0.008695652173913044,0.0,0.0,False
1180448,Flamengo,4.016521739130435,38.88695652173913,0.06086956521739131,0.5130434782608696,0.3304347826086957,0.09565217391304348,0.034782608695652174,0.0782608695652174,0.10434782608695652,15.521739130434783,0.40869565217391307,12.91304347826087,0.6347826086956522,0.17391304347826086,0.24347826086956523,4.017391304347826,2.1043478260869564,0.7565217391304347,0.391304347826087,0.33043478260869563,0.4956521739130435,0.4,0.06086956521739131,0.0,0.0,0.008695652173913044,0.0,0.0,0.0,True
1180449,Atletico Paranaense,4.915,45.731818181818184,0.09545454545454546,0.5863636363636364,0.23636363636363636,0.05454545454545456,0.018181818181818184,0.045454545454545456,0.07272727272727274,19.03181818181818,0.6727272727272727,15.9,0.8,0.18181818181818182,0.4454545454545455,5.109090909090909,2.4318181818181817,0.6727272727272727,0.32727272727272727,0.41363636363636364,0.45454545454545453,0.6909090909090909,0.13636363636363635,0.009090909090909092,0.0,0.0,0.009090909090909092,0.0,0.0,False
1180449,Botafogo,4.944637681159421,44.02028985507246,0.10144927536231883,0.41739130434782606,0.1565217391304348,0.043478260869565216,0.02608695652173913,0.05217391304347827,0.11304347826086956,20.26086956521739,0.4782608695652174,16.9768115942029,0.9014492753623189,0.11014492753623188,0.34782608695652173,4.321739130434782,2.110144927536232,0.5159420289855072,0.2782608695652174,0.40869565217391307,0.3768115942028985,0.6811594202898551,0.13043478260869565,0.0,0.0,0.008695652173913044,0.0,0.0,0.0,True
1180450,Palmeiras,4.051818181818182,37.91818181818182,0.06363636363636364,0.5363636363636364,0.21818181818181817,0.06363636363636364,0.02727272727272727,0.02727272727272728,0.12727272727272726,16.036363636363635,0.5545454545454546,13.1,0.6363636363636364,0.1,0.4090909090909091,3.8818181818181823,1.9909090909090907,0.5545454545454546,0.2636363636363636,0.3909090909090909,0.4636363636363637,0.4636363636363636,0.11818181818181818,0.0,0.018181818181818184,0.0,0.018181818181818184,0.009090909090909092,0.0,True
1180450,RB Bragantino,4.833695652173913,42.88913043478261,0.034782608695652174,0.3826086956521739,0.1826086956521739,0.05217391304347827,0.034782608695652174,0.043478260869565216,0.13043478260869565,16.81304347826087,0.3652173913043478,13.126086956521737,0.8086956521739129,0.1565217391304348,0.28695652173913044,5.480434782608696,2.752173913043478,0.9413043478260871,0.5304347826086956,0.26956521739130435,0.6108695652173912,0.6282608695652174,0.13043478260869565,0.008695652173913044,0.0,0.0,0.0,0.0,0.0,False
1180451,Cuiaba,5.198695652173913,45.439130434782605,0.06956521739130435,0.491304347826087,0.2739130434782609,0.09565217391304348,0.043478260869565216,0.05217391304347827,0.13043478260869565,17.821739130434786,0.43478260869565216,14.969565217391304,0.6695652173913044,0.11304347826086956,0.2782608695652174,4.1,2.0565217391304347,0.6304347826086957,0.37826086956521743,0.2782608695652174,0.45217391304347826,0.6086956521739131,0.09130434782608696,0.0,0.008695652173913044,0.017391304347826087,0.017391304347826087,0.0,0.0,False
1180451,Sao Paulo,4.550303030303031,42.77727272727273,0.09999999999999999,0.4818181818181818,0.28484848484848485,0.06666666666666667,0.018181818181818184,0.045454545454545456,0.05454545454545454,20.578787878787878,0.47575757575757577,17.796969696969697,0.7363636363636363,0.07272727272727274,0.36666666666666664,4.587878787878788,2.377272727272727,0.7484848484848484,0.40606060606060607,0.33636363636363636,0.6803030303030303,0.6121212121212122,0.18333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,True
