id_partida,id_league,referee,date,Stadium,Home_Team,home.id,Away_Team,away.id,home.winner,Gols_Home,Gols_Away,Half_Time_Gols_Home,Half_Time_Gols_Away,Empate
688931,71,Alexandre Vargas Tavares de Jesus,2021-06-12T22:00:00+00:00,Estádio Urbano Caldeira,Santos,128,Juventude,152,False,0,0,0,0,1
688929,71,Ramon Abatti,2021-06-13T19:00:00+00:00,Estadio Jornalista Mário Filho,Flamengo,127,America Mineiro,125,True,2,0,1,0,0
688933,71,Ricardo Marques Ribeiro,2021-06-13T19:00:00+00:00,Arena do Grêmio,Gremio,130,Atletico Paranaense,134,False,0,1,0,1,0
688932,71,Anderson Daronco,2021-06-13T19:00:00+00:00,Estádio Governador Magalhães Pinto,Atletico-MG,1062,Sao Paulo,126,True,1,0,1,0,0
688935,71,Wagner do Nascimento Magalhaes,2021-06-13T23:30:00+00:00,Estádio Governador Roberto Santos,Bahia,118,Internacional,119,False,0,1,0,1,0
688937,71,Vinicius Gonçalves Dias Araujo,2021-06-13T23:30:00+00:00,Arena Condá,Chapecoense-sc,132,Ceara,129,False,0,0,0,0,1
688934,71,Braulio da Silva Machado,2021-06-13T23:30:00+00:00,Estádio Governador Plácido Aderaldo Castelo,Fortaleza EC,154,Sport Recife,123,True,1,0,0,0,0
688936,71,Leandro Vuaden,2021-06-13T23:30:00+00:00,Estádio Nabi Abi Chedid,RB Bragantino,794,Fluminense,124,False,2,2,2,0,1
688943,71,Luiz Flavio De Oliveira,2021-06-16T22:00:00+00:00,Estádio José Pinheiro Borda,Internacional,119,Atletico-MG,1062,False,0,1,0,1,0
688941,71,Dyorgines José Padovani Andrade,2021-06-16T22:00:00+00:00,Estádio Cícero Pompeu de Toledo,Sao Paulo,126,Chapecoense-sc,132,False,1,1,1,0,1
688940,71,Thiago Luis Scarascati,2021-06-16T23:30:00+00:00,Neo Química Arena,Corinthians,131,RB Bragantino,794,False,1,2,1,0,0
688947,71,Marielson Alves Silva,2021-06-17T00:30:00+00:00,Estádio Alfredo Jaconi,Juventude,152,Palmeiras,121,False,0,3,0,0,0
688942,71,Antonio Dib Moraes de Sousa,2021-06-17T19:00:00+00:00,Estádio Raimundo Sampaio,America Mineiro,125,Cuiaba,1193,False,0,0,0,0,1
688944,71,Marcelo de Lima Henrique,2021-06-17T19:00:00+00:00,Estádio Governador Plácido Aderaldo Castelo,Ceara,129,Bahia,118,False,1,2,1,2,0
688945,71,Denis Ribeiro Serafim,2021-06-17T22:00:00+00:00,Estádio Adelmar da Costa Carvalho,Sport Recife,123,Gremio,130,True,1,0,1,0,0
688939,71,Paulo Roberto Alves Júnior,2021-06-17T22:00:00+00:00,Estadio Jornalista Mário Filho,Fluminense,124,Santos,128,True,1,0,0,0,0
688948,71,Douglas Schwengber,2021-06-17T22:00:00+00:00,Estádio Antônio Accioly,Atletico Goianiense,144,Fortaleza EC,154,False,0,0,0,0,1
688949,71,Braulio da Silva Machado,2021-06-20T00:00:00+00:00,Estadio Jornalista Mário Filho,Flamengo,127,RB Bragantino,794,False,2,3,1,1,0
688950,71,Jefferson Ferreira de Moraes,2021-06-20T14:00:00+00:00,Allianz Parque,Palmeiras,121,America Mineiro,125,True,2,1,1,1,0
688955,71,Bruno Arleu de Araujo,2021-06-20T19:00:00+00:00,Estádio Governador Roberto Santos,Bahia,118,Corinthians,131,False,0,0,0,0,1
688953,71,Diego Pombo Lopez,2021-06-20T19:00:00+00:00,Estádio José Pinheiro Borda,Internacional,119,Ceara,129,False,1,1,1,1,1
688951,71,Savio Pereira,2021-06-20T21:15:00+00:00,Estádio Urbano Caldeira,Santos,128,Sao Paulo,126,True,2,0,2,0,0
688956,71,Felipe Fernandes de Lima,2021-06-20T21:15:00+00:00,Arena da Baixada,Atletico Paranaense,134,Atletico Goianiense,144,True,2,1,1,1,0
688954,71,Flavio Rodrigues De Souza,2021-06-20T21:15:00+00:00,Estádio Governador Plácido Aderaldo Castelo,Fortaleza EC,154,Fluminense,124,False,1,1,0,0,1
688957,71,Edina Alves Batista,2021-06-20T23:30:00+00:00,Estádio Alfredo Jaconi,Juventude,152,Sport Recife,123,True,1,0,0,0,0
688952,71,Rodolpho Toski Marques,2021-06-21T23:00:00+00:00,Estádio Governador Magalhães Pinto,Atletico-MG,1062,Chapecoense-sc,132,False,1,1,1,0,1
688961,71,Ricardo Marques Ribeiro,2021-06-23T22:00:00+00:00,Estádio Cícero Pompeu de Toledo,Sao Paulo,126,Cuiaba,1193,False,2,2,2,2,1
688959,71,Anderson Daronco,2021-06-23T22:00:00+00:00,Estadio Jornalista Mário Filho,Flamengo,127,Fortaleza EC,154,True,2,1,2,0,0
688968,71,Paulo Cesar Zanovelli,2021-06-23T22:00:00+00:00,Estádio Antônio Accioly,Atletico Goianiense,144,Fluminense,124,True,1,0,0,0,0
688966,71,Luiz Flavio De Oliveira,2021-06-23T22:00:00+00:00,Estádio Nabi Abi Chedid,RB Bragantino,794,Palmeiras,121,True,3,1,2,0,0
688962,71,Wagner do Nascimento Magalhaes,2021-06-24T19:00:00+00:00,Estádio Raimundo Sampaio,America Mineiro,125,Juventude,152,False,1,1,0,1,1
688964,71,Leandro Vuaden,2021-06-24T22:00:00+00:00,Estádio Governador Plácido Aderaldo Castelo,Ceara,129,Atletico-MG,1062,True,2,1,1,0,0
688960,71,Paulo Roberto Alves Júnior,2021-06-24T22:00:00+00:00,Neo Química Arena,Corinthians,131,Sport Recife,123,True,2,1,1,0,0
688967,71,Alexandre Vargas Tavares de Jesus,2021-06-24T22:00:00+00:00,Arena Condá,Chapecoense-sc,132,Internacional,119,False,1,2,0,2,0
688965,71,Antonio Dib Moraes de Sousa,2021-06-25T00:30:00+00:00,Estádio Governador Roberto Santos,Bahia,118,Atletico Paranaense,134,True,2,1,1,1,0
688963,71,Caio Max Augusto Vieira,2021-06-25T00:30:00+00:00,Arena do Grêmio,Gremio,130,Santos,128,False,2,2,2,1,1
688977,71,Thiago Luis Scarascati,2021-06-27T14:00:00+00:00,Estádio Alfredo Jaconi,Juventude,152,Flamengo,127,True,1,0,1,0,0
688969,71,Savio Pereira,2021-06-27T19:00:00+00:00,Estádio Club de Regatas Vasco da Gama,Fluminense,124,Corinthians,131,False,1,1,0,1,1
688970,71,Denis Ribeiro Serafim,2021-06-27T23:00:00+00:00,Allianz Parque,Palmeiras,121,Bahia,118,True,3,2,1,1,0
