fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals
878206,541,Real Madrid,17,7,29,5,25,4,17,9,0.0,60%,0.0,,2.0,546,471,86%,4.63
878206,720,Valladolid,2,6,12,4,5,7,11,1,2.0,40%,1.0,,12.0,362,296,82%,0.86
878209,533,Villarreal,4,7,16,5,13,3,12,4,4.0,52%,5.0,1.0,3.0,391,326,83%,2.71
878209,548,Real Sociedad,3,7,16,6,10,6,19,4,2.0,48%,3.0,0.0,2.0,347,279,80%,0.98
878203,530,Atletico Madrid,7,4,13,2,9,4,20,5,3.0,54%,1.0,,2.0,533,453,85%,1.66
878203,543,Real Betis,2,4,6,0,5,1,11,1,0.0,46%,2.0,,6.0,467,390,84%,0.57
878210,532,Valencia,4,9,18,5,13,5,15,13,2.0,61%,2.0,,1.0,490,401,82%,2.36
878210,728,Rayo Vallecano,2,5,7,0,5,2,16,3,0.0,39%,3.0,,3.0,328,217,66%,0.85
878218,536,Sevilla,2,4,7,1,4,3,11,8,1.0,30%,6.0,2.0,2.0,248,173,70%,0.38
878218,538,Celta Vigo,4,4,9,1,4,5,9,3,2.0,70%,2.0,0.0,0.0,607,539,89%,0.45
878219,727,Osasuna,6,10,22,6,13,9,15,9,2.0,62%,1.0,,0.0,474,399,84%,1.14
878219,797,Elche,1,4,7,2,6,1,7,2,5.0,38%,3.0,,4.0,299,223,75%,0.66
878216,540,Espanyol,2,6,9,1,5,4,14,8,4.0,49%,6.0,1.0,5.0,441,360,82%,0.85
878216,531,Athletic Club,7,3,12,2,11,1,18,7,2.0,51%,4.0,0.0,1.0,468,387,83%,2.33
878221,548,Real Sociedad,6,4,11,1,6,5,11,3,4.0,61%,2.0,,4.0,578,469,81%,2.34
878221,546,Getafe,4,1,6,1,4,2,9,2,6.0,39%,1.0,,4.0,354,244,69%,0.28
878214,541,Real Madrid,4,10,18,4,13,5,8,6,2.0,49%,0.0,,5.0,432,383,89%,2.46
878214,533,Villarreal,8,6,17,3,10,7,19,7,2.0,51%,3.0,,3.0,443,382,86%,1.50
878220,720,Valladolid,6,4,10,0,8,2,13,1,1.0,62%,3.0,,3.0,464,396,85%,1.25
878220,798,Mallorca,6,4,14,4,9,5,20,2,0.0,38%,5.0,,3.0,279,208,75%,1.80
878213,543,Real Betis,3,5,9,1,6,3,18,5,,46%,3.0,2.0,2.0,321,256,80%,1.23
878213,724,Cadiz,4,6,15,5,12,3,16,6,,54%,3.0,0.0,2.0,384,321,84%,2.99
878215,723,Almeria,4,3,10,3,6,4,11,3,2.0,40%,3.0,,2.0,314,229,73%,1.33
878215,532,Valencia,4,5,11,2,7,4,11,7,0.0,60%,2.0,,2.0,445,364,82%,1.29
878217,728,Rayo Vallecano,3,8,15,4,8,7,8,8,0.0,51%,,1.0,2.0,549,453,83%,0.68
878217,530,Atletico Madrid,4,9,14,1,13,1,7,2,3.0,49%,,0.0,3.0,542,454,84%,1.90
878212,529,Barcelona,3,11,18,4,14,4,14,12,1.0,59%,0.0,,0.0,513,440,86%,1.31
878212,547,Girona,0,4,5,1,4,1,14,2,4.0,41%,2.0,,4.0,368,293,80%,0.60
878229,728,Rayo Vallecano,3,5,12,4,8,4,18,2,1.0,46%,2.0,,3.0,391,296,76%,0.90
878229,727,Osasuna,4,3,8,1,5,3,16,3,1.0,54%,3.0,,2.0,466,364,78%,0.39
878226,533,Villarreal,7,9,22,6,15,7,9,8,2.0,70%,1.0,,5.0,583,509,87%,1.99
878226,720,Valladolid,7,7,14,0,9,5,18,5,3.0,30%,6.0,,6.0,245,172,70%,2.16
878222,531,Athletic Club,5,4,13,4,7,6,16,5,3.0,51%,5.0,,4.0,406,308,76%,0.79
878222,548,Real Sociedad,4,6,13,3,8,5,14,2,2.0,49%,2.0,,3.0,384,289,75%,1.39
878223,543,Real Betis,8,5,15,2,11,4,9,4,1.0,52%,2.0,,3.0,428,367,86%,2.09
878223,540,Espanyol,4,6,13,3,10,3,13,13,4.0,48%,2.0,,5.0,375,311,83%,0.63
878225,724,Cadiz,3,7,12,2,8,4,12,2,0.0,31%,1.0,,9.0,302,227,75%,0.67
878225,541,Real Madrid,11,12,35,12,24,11,7,9,2.0,69%,0.0,,3.0,700,640,91%,3.52
878228,547,Girona,4,5,14,5,10,4,9,3,0.0,48%,3.0,0.0,5.0,404,323,80%,1.22
878228,797,Elche,5,6,13,2,7,6,14,4,1.0,52%,3.0,1.0,3.0,424,368,87%,0.75
878227,546,Getafe,1,3,5,1,5,0,13,1,6.0,34%,2.0,,3.0,251,153,61%,0.52
878227,529,Barcelona,3,7,15,5,7,8,12,5,5.0,66%,1.0,,1.0,480,391,81%,1.59
878231,530,Atletico Madrid,7,10,19,2,9,10,7,9,6.0,65%,3.0,,0.0,650,578,89%,2.36
878231,723,Almeria,1,2,3,0,3,0,8,2,2.0,35%,3.0,,5.0,355,282,79%,0.17
878230,532,Valencia,3,8,13,2,8,5,10,6,1.0,60%,1.0,1.0,1.0,500,403,81%,0.37
878230,536,Sevilla,3,3,6,0,4,2,17,2,3.0,40%,4.0,0.0,3.0,350,260,74%,0.36
878224,538,Celta Vigo,3,3,12,6,7,5,10,7,2.0,73%,2.0,1.0,1.0,597,514,86%,0.89
878224,798,Mallorca,2,6,8,0,6,2,19,5,1.0,27%,1.0,0.0,3.0,213,125,59%,1.14
878239,540,Espanyol,5,6,14,3,12,2,8,6,3.0,57%,4.0,,2.0,393,314,80%,1.16
878239,724,Cadiz,2,8,11,1,8,3,22,4,2.0,43%,2.0,,5.0,307,226,74%,1.42
878236,727,Osasuna,5,3,10,2,8,2,20,5,1.0,38%,2.0,,4.0,301,217,72%,1.55
878236,543,Real Betis,6,7,21,8,13,8,13,13,0.0,62%,0.0,,2.0,476,404,85%,2.17
878234,723,Almeria,4,5,12,3,6,6,8,3,2.0,53%,2.0,,1.0,464,366,79%,0.81
878234,531,Athletic Club,3,9,14,2,9,5,20,4,1.0,47%,4.0,,3.0,425,339,80%,1.67
878240,548,Real Sociedad,1,4,7,2,5,2,18,3,4.0,61%,1.0,,1.0,466,366,79%,0.56
878240,728,Rayo Vallecano,2,3,7,2,4,3,19,3,3.0,39%,2.0,,0.0,301,179,59%,0.49
878241,720,Valladolid,6,4,15,5,8,7,14,5,2.0,39%,1.0,,6.0,334,253,76%,1.01
878241,547,Girona,6,4,12,2,7,5,9,7,1.0,61%,1.0,,5.0,526,438,83%,0.89
878237,541,Real Madrid,5,9,17,3,10,7,10,8,1.0,66%,1.0,,2.0,728,657,90%,1.47
878237,538,Celta Vigo,2,7,12,3,7,5,10,3,2.0,34%,2.0,,3.0,369,296,80%,0.98
878232,797,Elche,1,5,7,1,6,1,12,11,5.0,66%,3.0,,2.0,470,413,88%,0.63
878232,532,Valencia,3,2,5,0,5,0,6,6,0.0,34%,1.0,,1.0,250,180,72%,0.97
878235,529,Barcelona,4,6,13,3,9,4,15,3,2.0,62%,4.0,,3.0,605,518,86%,2.18
878235,530,Atletico Madrid,3,6,13,4,11,2,16,3,2.0,38%,8.0,,3.0,365,275,75%,1.28
878238,798,Mallorca,4,4,8,0,8,0,15,2,4.0,49%,2.0,,0.0,398,287,72%,1.51
878238,546,Getafe,1,1,3,1,2,1,18,2,1.0,51%,3.0,,1.0,423,306,72%,0.10
878233,536,Sevilla,4,10,17,3,10,7,12,5,3.0,38%,1.0,,4.0,294,207,70%,0.90
