fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%
721108,548,Real Sociedad,6,3,11,2,8,3,16,3,3.0,51%,3.0,,3.0,400,306,77%
721102,538,Celta Vigo,5,4,14,5,11,3,11,7,5.0,49%,2.0,,1.0,448,341,76%
721102,797,Elche,1,7,10,2,6,4,12,5,4.0,51%,2.0,,3.0,453,342,75%
721107,539,Levante,5,8,15,2,11,4,19,3,2.0,64%,8.0,0.0,1.0,468,391,84%
721107,542,Alaves,2,3,6,1,3,3,10,4,4.0,36%,7.0,1.0,2.0,245,163,67%
721101,543,Real Betis,4,5,11,2,11,0,11,4,1.0,61%,0.0,,4.0,518,435,84%
721101,715,Granada CF,4,7,14,3,10,4,17,9,3.0,39%,1.0,,2.0,309,229,74%
721104,546,Getafe,3,3,9,3,5,4,9,5,1.0,29%,1.0,,1.0,340,267,79%
721104,529,Barcelona,1,2,5,2,2,3,8,5,1.0,71%,2.0,,3.0,861,799,93%
721105,724,Cadiz,7,9,21,5,14,7,13,10,1.0,38%,6.0,,6.0,351,287,82%
721105,541,Real Madrid,7,8,16,1,9,7,11,2,0.0,62%,2.0,,6.0,614,549,89%
721103,798,Mallorca,5,4,12,3,8,4,13,5,1.0,45%,1.0,,3.0,362,275,76%
721103,728,Rayo Vallecano,4,5,11,2,9,2,8,3,0.0,55%,0.0,,3.0,440,364,83%
721113,541,Real Madrid,3,12,17,2,6,11,7,8,4.0,52%,,,2.0,555,504,91%
721113,543,Real Betis,2,5,11,4,5,6,12,5,0.0,48%,,,3.0,510,442,87%
721117,728,Rayo Vallecano,8,7,19,4,11,8,8,7,5.0,56%,0.0,,2.0,420,341,81%
721117,539,Levante,7,5,14,2,10,4,12,3,0.0,44%,3.0,,6.0,353,269,76%
721116,532,Valencia,3,4,10,3,8,2,22,3,0.0,45%,3.0,,3.0,320,228,71%
721116,538,Celta Vigo,3,3,9,3,5,4,19,3,3.0,55%,3.0,,2.0,398,293,74%
