id_partida,id_league,referee,date,venue.name,home.name,home.id,away.name,away.id,home.winner,home,away,halftime.home,halftime.away
35193,71,"Leandro Pedro Vuaden, Brazil",2017-10-18T23:45:00+00:00,Estadio Giulite Coutinho,Fluminense,124,Sao Paulo,126,True,3,1,2,0
35192,71,"Heber Roberto Lopes, Brazil",2017-10-18T23:45:00+00:00,Arena Corinthians,Corinthians,131,Gremio,130,,0,0,0,0
35191,71,"Rafael Traci, Brazil",2017-10-18T23:45:00+00:00,Estádio da Ressacada,Avai,145,Botafogo,120,,1,1,0,0
35189,71,"Leandro Bizzio Marinho,",2017-10-19T22:00:00+00:00,Allianz Parque,Palmeiras,121,Ponte Preta,139,True,2,0,1,0
35190,71,"Andre Luiz de Freitas Castro, Brazil",2017-10-19T22:00:00+00:00,Estadio Manoel Barradas,Vitoria,136,Atletico Paranaense,134,False,2,3,1,1
35188,71,"Dewson Fernando Freitas da Silva, Brazil",2017-10-19T23:00:00+00:00,Ilha do Retiro,Sport Recife,123,Santos,128,,1,1,0,1
35187,71,"Marcelo Aparecido Ribeiro de Souza, Brazil",2017-10-19T23:00:00+00:00,Estádio Ilha do Urubu,Flamengo,127,Bahia,118,True,4,1,0,0
35186,71,"Raphael Claus, Brazil",2017-10-21T19:00:00+00:00,Estádio do Maracanã,Vasco DA Gama,133,Coritiba,147,,1,1,1,0
35181,71,"Marcelo De Lima Henrique, Brazil",2017-10-22T19:00:00+00:00,Arena Fonte Nova,Bahia,118,Vitoria,136,True,2,1,0,0
35185,71,"Rafael Traci, Brazil",2017-10-22T19:00:00+00:00,Pacaembú,Sao Paulo,126,Flamengo,127,True,2,0,2,0
35184,71,"Pericles Bassols Pegado Cortez, Brazil",2017-10-22T19:00:00+00:00,Urbano Caldeira,Santos,128,Atletico Goianiense,144,True,1,0,1,0
35183,71,"Ricardo Marques Ribeiro, Brazil",2017-10-22T19:00:00+00:00,Arena do Grêmio,Gremio,130,Palmeiras,121,False,1,3,0,0
35180,71,"Thiago Duarte Peixoto, Brazil",2017-10-22T19:00:00+00:00,Arena da Baixada,Atletico Paranaense,134,Sport Recife,123,True,2,1,0,0
