fixture_id,id_league,referee,date,venue.name,home.name,home.id,away.name,away.id,home.winner,home,away,halftime.home,halftime.away
1180702,71,Anderson Daronco,2024-11-26T23:00:00+00:00,Estádio Governador Plácido Aderaldo Castelo,Fortaleza EC,154,Flamengo,127,,0,0,0,0
1180710,71,Wilton Pereira Sampaio,2024-11-27T00:30:00+00:00,Allianz Parque,Palmeiras,121,Botafogo,120,False,1,3,0,1
1180706,71,Flavio Rodrigues De Souza,2024-11-27T00:30:00+00:00,Estádio Raimundo Sampaio,Atletico-MG,1062,Juventude,152,False,2,3,0,1
1180696,71,Raphael Claus,2024-11-28T00:00:00+00:00,Estádio Governador Magalhães Pinto,Cruzeiro,135,Gremio,130,,1,1,1,1
1180714,71,Anderson Daronco,2024-11-30T22:30:00+00:00,Estádio Heriberto Hülse,Criciuma,140,Corinthians,131,False,2,4,2,0
1180713,71,Davi de Oliveira Lacerda,2024-11-30T22:30:00+00:00,Arena Pantanal,Cuiaba,1193,Bahia,118,False,1,2,1,1
1180709,71,Lucas Torezin,2024-12-01T00:30:00+00:00,Estádio São Januário,Vasco DA Gama,133,Atletico Goianiense,144,,2,2,0,1
1180708,71,Rodrigo José Pereira de Lima,2024-12-01T19:00:00+00:00,Estadio Jornalista Mário Filho,Flamengo,127,Internacional,119,True,3,2,3,0
1180705,71,Ramon Abatti,2024-12-01T19:00:00+00:00,Arena do Grêmio,Gremio,130,Sao Paulo,126,True,2,1,2,0
1180712,71,Raphael Claus,2024-12-01T21:30:00+00:00,Ligga Arena,Atletico Paranaense,134,Fluminense,124,,1,1,1,0
1180707,71,Wilton Pereira Sampaio,2024-12-01T21:30:00+00:00,Estádio Manoel Barradas,Vitoria,136,Fortaleza EC,154,True,2,0,2,0
1180711,71,Rafael Rodrigo Klein,2024-12-01T21:30:00+00:00,Estádio Nabi Abi Chedid,RB Bragantino,794,Cruzeiro,135,,1,1,1,0
1180720,71,Bruno Arleu de Araújo,2024-12-03T23:00:00+00:00,Neo Química Arena,Corinthians,131,Bahia,118,True,3,0,2,0
1180719,71,Davi de Oliveira Lacerda,2024-12-04T22:00:00+00:00,Estádio São Januário,Vasco DA Gama,133,Atletico-MG,1062,True,2,0,0,0
