fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals,goals_prevented
1208547,727,Osasuna,4,7,13,2,12,1,14,2,4.0,39%,2.0,,5.0,309,231,75%,1.91,0.0
1208547,534,Las Palmas,6,5,11,0,9,2,11,4,3.0,61%,5.0,,2.0,488,408,84%,1.00,0.0
1208545,532,Valencia,2,3,7,2,3,4,13,5,1.0,32%,3.0,,3.0,284,202,71%,0.42,-1.0
1208545,547,Girona,3,3,8,2,5,3,10,4,2.0,68%,2.0,,0.0,607,538,89%,0.37,-1.0
1212915,541,Real Madrid,14,9,31,8,21,10,7,9,2.0,73%,4.0,,1.0,703,637,91%,4.46,0.0
1212915,540,Espanyol,1,4,10,5,5,5,5,4,1.0,27%,3.0,,10.0,260,177,68%,0.34,0.0
1208541,546,Getafe,4,2,13,7,6,7,16,6,0.0,59%,3.0,,1.0,420,312,74%,1.49,0.0
1208541,537,Leganes,2,2,6,2,4,2,17,2,1.0,41%,2.0,,3.0,300,186,62%,0.56,0.0
1208539,531,Athletic Club,5,3,10,2,7,3,16,3,1.0,32%,3.0,,3.0,304,248,82%,0.79,0.0
1208539,538,Celta Vigo,4,3,11,4,11,0,11,6,2.0,68%,2.0,,2.0,636,558,88%,1.33,0.0
1208544,533,Villarreal,4,7,13,2,12,1,11,7,7.0,36%,6.0,,4.0,325,264,81%,2.11,0.0
1208544,529,Barcelona,10,4,17,3,14,3,12,3,0.0,64%,1.0,,3.0,610,555,91%,4.08,0.0
1208543,728,Rayo Vallecano,4,7,16,5,5,11,9,3,,55%,,,4.0,517,418,81%,1.83,0.0
1208543,530,Atletico Madrid,5,2,10,3,6,4,12,4,,45%,,,3.0,432,334,77%,0.56,0.0
1208540,543,Real Betis,6,5,16,5,8,8,12,6,1.0,62%,3.0,,4.0,582,520,89%,1.03,0.0
1208540,798,Mallorca,6,1,7,0,6,1,14,3,3.0,38%,3.0,,5.0,367,293,80%,1.02,0.0
1208555,532,Valencia,3,3,10,4,8,2,6,10,5.0,52%,2.0,,2.0,388,295,76%,0.66,0.0
1208555,727,Osasuna,2,4,9,3,5,4,11,5,2.0,48%,3.0,,3.0,357,270,76%,0.47,0.0
1208551,536,Sevilla,5,6,22,11,14,8,14,6,2.0,55%,5.0,1.0,1.0,366,298,81%,2.05,0.0
1208551,720,Valladolid,2,3,8,3,4,4,12,4,4.0,45%,4.0,0.0,4.0,306,237,77%,0.68,0.0
1208556,541,Real Madrid,4,3,10,3,9,1,7,4,2.0,69%,4.0,,1.0,735,673,92%,1.32,-1.0
1208556,542,Alaves,3,5,12,4,6,6,10,4,1.0,31%,0.0,,1.0,326,249,76%,0.88,-1.0
1208549,547,Girona,1,7,11,3,6,5,8,4,2.0,71%,3.0,,0.0,642,570,89%,2.22,0.0
1208549,728,Rayo Vallecano,0,2,2,0,1,1,16,3,0.0,29%,4.0,,1.0,261,198,76%,0.35,0.0
1208548,529,Barcelona,4,6,15,5,6,9,4,7,5.0,78%,1.0,,1.0,625,555,89%,1.92,0.0
1208548,546,Getafe,1,3,7,3,5,2,15,5,7.0,22%,1.0,,3.0,170,92,54%,0.67,0.0
1208554,534,Las Palmas,2,4,8,2,5,3,21,1,2.0,55%,4.0,,4.0,553,470,85%,0.91,0.0
1208554,543,Real Betis,5,7,13,1,10,3,10,4,4.0,45%,2.0,,1.0,448,373,83%,1.99,0.0
1212916,540,Espanyol,2,2,9,5,4,5,12,4,0.0,56%,5.0,,2.0,504,431,86%,0.45,0.0
1212916,533,Villarreal,4,7,15,4,8,7,14,1,1.0,44%,3.0,,1.0,402,339,84%,1.48,0.0
1208553,538,Celta Vigo,4,6,10,0,6,4,11,2,,58%,2.0,,1.0,669,588,88%,1.53,1.0
1208553,530,Atletico Madrid,2,2,8,4,4,4,11,3,,42%,2.0,,4.0,469,374,80%,0.62,1.0
1208562,720,Valladolid,1,8,13,4,7,6,16,7,2.0,50%,3.0,,4.0,410,331,81%,1.25,0.0
1208562,798,Mallorca,6,8,17,3,11,6,11,4,1.0,50%,2.0,,0.0,413,326,79%,2.32,0.0
1208564,546,Getafe,8,3,14,3,9,5,17,2,4.0,45%,3.0,,1.0,203,111,55%,2.22,0.0
1208564,542,Alaves,1,5,9,3,5,4,24,2,2.0,55%,6.0,,6.0,257,146,57%,0.48,0.0
1208565,728,Rayo Vallecano,6,4,15,5,10,5,12,5,2.0,53%,2.0,,2.0,466,385,83%,0.91,0.0
1208565,537,Leganes,3,6,13,4,7,6,7,5,2.0,47%,1.0,,5.0,401,322,80%,0.73,0.0
1208560,548,Real Sociedad,6,3,11,2,9,2,7,6,5.0,62%,,,4.0,536,451,84%,3.19,0.0
1208560,532,Valencia,4,3,9,2,2,7,12,4,2.0,38%,,,3.0,330,245,74%,0.78,0.0
1208561,727,Osasuna,5,5,11,1,9,2,13,5,10.0,25%,2.0,,4.0,218,142,65%,2.25,-1.0
1208561,529,Barcelona,6,4,12,2,6,6,3,8,0.0,75%,2.0,,1.0,673,587,87%,0.68,-1.0
1208559,538,Celta Vigo,2,5,12,5,7,5,9,4,0.0,48%,1.0,,4.0,548,479,87%,0.41,0.0
1208559,547,Girona,4,1,9,4,7,2,14,4,1.0,52%,0.0,,1.0,604,548,91%,0.81,0.0
1208557,531,Athletic Club,5,6,13,2,9,4,6,4,3.0,39%,0.0,1.0,3.0,329,246,75%,1.77,0.0
1208557,536,Sevilla,3,7,13,3,4,9,7,7,3.0,61%,3.0,0.0,4.0,529,434,82%,1.57,0.0
1212917,543,Real Betis,11,3,20,6,15,5,14,8,0.0,53%,2.0,,1.0,461,393,85%,2.28,1.0
1212917,540,Espanyol,1,3,8,4,5,3,20,4,1.0,47%,4.0,,10.0,408,337,83%,0.49,1.0
