fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals
1005959,124,Fluminense,8,9,24,7,10,14,25,3,1.0,60%,6.0,0.0,1,488,440,90%,1.17
1005959,126,Sao Paulo,1,0,4,3,2,2,14,4,2.0,40%,5.0,1.0,7,329,267,81%,0.10
1005937,154,Fortaleza EC,4,5,15,6,10,5,17,4,2.0,31%,2.0,,0,237,171,72%,1.97
1005937,120,Botafogo,1,6,9,2,6,3,19,5,0.0,69%,4.0,,2,551,472,86%,0.67
1005939,127,Flamengo,4,5,16,7,12,4,10,8,2.0,53%,4.0,0.0,3,432,335,78%,1.21
1005939,794,RB Bragantino,3,11,19,5,12,7,15,6,2.0,47%,3.0,1.0,3,389,303,78%,1.24
1005992,131,Corinthians,4,9,14,1,9,5,9,3,1.0,65%,2.0,,2,604,525,87%,0.92
1005992,118,Bahia,7,4,13,2,12,1,14,3,1.0,35%,3.0,,3,326,252,77%,2.79
1005996,134,Atletico Paranaense,4,12,18,2,8,10,15,5,2.0,55%,1.0,,2,408,342,84%,1.42
1005996,133,Vasco DA Gama,2,3,8,3,6,2,19,1,2.0,45%,4.0,,4,343,266,78%,0.63
1005989,124,Fluminense,8,8,21,5,15,6,15,6,1.0,65%,2.0,,2,609,547,90%,1.63
1005989,147,Coritiba,3,8,16,5,7,9,10,5,3.0,35%,2.0,,6,316,252,80%,0.91
1005990,120,Botafogo,5,7,18,6,10,8,14,4,1.0,46%,2.0,,4,366,297,81%,1.52
1005990,128,Santos,5,1,8,2,4,4,15,5,4.0,54%,3.0,,3,436,355,81%,0.26
1005994,1062,Atletico-MG,6,6,17,5,14,3,10,7,1.0,44%,3.0,,5,418,347,83%,1.93
1005994,130,Gremio,6,9,21,6,14,7,12,7,0.0,56%,2.0,,3,534,456,85%,1.32
1005995,119,Internacional,2,5,8,1,2,6,18,4,0.0,34%,5.0,,5,277,178,64%,1.13
1005995,794,RB Bragantino,5,4,13,4,7,6,13,7,4.0,66%,5.0,,1,540,449,83%,0.46
1005998,125,America Mineiro,1,7,11,3,6,5,9,3,,43%,4.0,,5,379,319,84%,0.41
1005998,127,Flamengo,8,8,24,8,16,8,13,7,,57%,4.0,,1,515,447,87%,3.02
1005991,126,Sao Paulo,4,8,19,7,8,11,12,5,1.0,62%,1.0,,0,667,604,91%,0.80
1005991,1193,Cuiaba,0,1,3,2,2,1,11,1,2.0,38%,0.0,,4,398,332,83%,0.11
1005997,154,Fortaleza EC,8,9,20,3,12,8,18,4,0.0,37%,2.0,0.0,3,266,205,77%,1.83
1005997,121,Palmeiras,5,6,13,2,6,7,11,7,1.0,63%,2.0,1.0,5,435,364,84%,0.84
1005993,151,Goias,3,6,10,1,4,6,18,4,0.0,50%,3.0,,6,362,290,80%,0.42
1005993,135,Cruzeiro,7,5,12,0,6,6,17,5,3.0,50%,3.0,,3,366,300,82%,0.84
1006000,133,Vasco DA Gama,9,7,20,4,16,4,9,8,0.0,53%,3.0,,1,510,455,89%,1.37
1006000,131,Corinthians,5,3,14,6,10,4,5,3,1.0,47%,1.0,,6,487,430,88%,1.47
1006002,128,Santos,9,13,27,5,14,13,18,5,3.0,28%,2.0,,2,267,221,83%,1.45
1006002,124,Fluminense,5,2,9,2,6,3,9,3,0.0,72%,3.0,,8,730,655,90%,1.22
1005999,127,Flamengo,4,10,19,5,11,8,12,10,0.0,58%,3.0,,3,554,487,88%,1.04
1005999,1062,Atletico-MG,6,3,11,2,6,5,12,1,3.0,42%,2.0,,4,421,347,82%,1.20
1006007,118,Bahia,3,4,14,7,8,6,15,3,0.0,33%,4.0,,4,278,216,78%,0.72
1006007,126,Sao Paulo,5,4,14,5,5,9,11,5,3.0,67%,3.0,,3,591,527,89%,1.00
1006008,1193,Cuiaba,1,7,10,2,7,3,13,2,1.0,45%,3.0,,2,389,329,85%,0.72
1006008,119,Internacional,4,4,13,5,8,5,12,5,1.0,55%,2.0,,1,484,434,90%,1.47
1006001,121,Palmeiras,12,13,26,1,16,10,10,10,2.0,46%,2.0,,1,355,293,83%,3.38
1006001,125,America Mineiro,1,2,4,1,3,1,15,2,2.0,54%,2.0,,9,434,360,83%,0.08
1006006,147,Coritiba,2,7,13,4,10,3,15,3,,47%,3.0,1.0,5,421,345,82%,1.73
1006006,120,Botafogo,6,10,24,8,14,10,11,10,,53%,1.0,1.0,1,462,391,85%,2.15
1006005,130,Gremio,7,1,13,5,7,6,16,6,0.0,50%,3.0,,5,432,339,78%,1.07
1006005,151,Goias,6,6,14,2,7,7,15,3,1.0,50%,2.0,,5,436,341,78%,0.68
1006004,135,Cruzeiro,9,13,26,4,16,10,10,2,1.0,57%,3.0,,2,458,396,86%,3.13
1006004,134,Atletico Paranaense,3,2,6,1,4,2,13,3,1.0,43%,4.0,,7,352,287,82%,1.16
