,fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals,goals_prevented
482,1180513,1193,Cuiaba,3,4,12,5,6,6,17,3,0.0,53%,3.0,0.0,3,428,355,83%,0.65,0.0
483,1180513,152,Juventude,3,6,9,0,6,3,11,3,2.0,47%,1.0,0.0,3,380,307,81%,0.55,0.0
484,1180613,144,Atletico Goianiense,4,5,13,4,10,3,14,9,0.0,64%,3.0,0.0,2,462,407,88%,1.2,1.0
485,1180613,136,Vitoria,4,2,7,1,3,4,14,5,0.0,36%,6.0,0.0,5,271,217,80%,0.92,1.0
486,1180612,134,Atletico Paranaense,9,10,28,9,19,9,12,13,3.0,55%,2.0,0.0,2,478,387,81%,2.97,1.0
487,1180612,154,Fortaleza EC,3,5,10,2,5,5,10,4,0.0,45%,2.0,0.0,7,389,307,79%,1.14,1.0
488,1180609,120,Botafogo,10,4,21,7,12,9,12,6,0.0,57%,1.0,0.0,1,528,455,86%,2.3,1.0
489,1180609,131,Corinthians,2,7,12,3,8,4,7,3,1.0,43%,3.0,0.0,8,388,324,84%,1.98,1.0
490,1180610,121,Palmeiras,8,3,14,3,8,6,12,4,3.0,54%,0.0,1.0,5,441,373,85%,1.71,-2.0
491,1180610,140,Criciuma,5,6,14,3,4,10,11,6,1.0,46%,2.0,0.0,4,377,315,84%,0.62,-2.0
492,1180614,152,Juventude,5,4,12,3,6,6,8,8,2.0,53%,5.0,0.0,0,430,354,82%,0.57,0.0
493,1180614,124,Fluminense,1,5,8,2,5,3,9,5,1.0,47%,4.0,0.0,3,404,327,81%,0.69,0.0
494,1180611,794,RB Bragantino,6,9,23,8,11,12,12,6,2.0,47%,5.0,0.0,2,299,234,78%,1.92,0.0
495,1180611,130,Gremio,4,3,8,1,5,3,7,7,1.0,53%,1.0,0.0,4,346,277,80%,0.96,0.0
496,1180607,118,Bahia,4,6,16,6,7,9,17,6,1.0,55%,1.0,0.0,2,531,463,87%,1.54,-1.0
497,1180607,1062,Atletico-MG,2,1,5,2,1,4,16,1,3.0,45%,3.0,0.0,1,447,380,85%,0.54,-1.0
498,1180608,127,Flamengo,3,9,17,5,11,6,10,5,3.0,61%,0.0,0.0,1,538,471,88%,2.02,0.0
499,1180608,133,Vasco DA Gama,2,3,9,4,3,6,10,6,1.0,39%,1.0,0.0,2,339,270,80%,0.99,0.0
500,1180606,135,Cruzeiro,1,9,14,4,6,8,11,7,1.0,61%,4.0,0.0,3,502,434,86%,0.58,0.0
501,1180606,126,Sao Paulo,4,5,14,5,13,1,10,7,1.0,39%,3.0,0.0,1,332,264,80%,1.07,0.0
502,1180605,119,Internacional,7,6,15,2,9,6,8,2,3.0,67%,1.0,0.0,0,660,592,90%,3.33,0.0
503,1180605,1193,Cuiaba,0,2,2,0,1,1,10,3,2.0,33%,2.0,0.0,4,319,261,82%,0.34,0.0
504,1180620,131,Corinthians,6,6,17,5,10,7,7,6,3.0,61%,3.0,0.0,3,568,479,84%,3.11,-1.0
